Player Id	Season	Fee	Market Value	Team A	Team B	ID Team A	ID Team B
366930	17/18	€3.00m	-	Barça U19	Bor. Dortmund	2470	16
366930	17/18	-	-	Barça U18	Barça U19	39813	2470
366930	16/17	-	-	Barça U16	Barça U18	14321	39813
366930	15/16	-	-	Barcelona Yth.	Barça U16	70295	14321
366930	10/11	Free transfer	-	Espanyol Youth	Barcelona Yth.	14737	70295
315779	18/19	End of loan	€60.00m	Bor. Dortmund	Chelsea	16	631
315779	18/19	Loan	€50.00m	Chelsea	Bor. Dortmund	631	16
315779	18/19	€64.00m	€50.00m	Bor. Dortmund	Chelsea	16	631
315779	15/16	-	-	B. Dortmund U19	Bor. Dortmund	1464	16
315779	15/16	-	-	B. Dortmund U17	B. Dortmund U19	21055	1464
315779	14/15	Free transfer	-	PA Classics	B. Dortmund U17	45065	21055
